ID,Video Name,Voltage + Frequency,Voltage,Frequency,Familiar,Novel,DS
71,ARN071_0V_0Hz_1.2,0 V_0 Hz,0,0,2.86,4.52,0.224932249
71,ARN071_0V_0Hz_2.2.avi,0 V_0 Hz,0,0,0.8,3.34,0.61352657
71,ARN071_0V_0Hz_4.2.avi,0 V_0 Hz,0,0,0.46,6.24,0.862686567
71,ARN071_1V_7Hz_8.2.avi,1 V_7 Hz,1,7,14.84,10.7,-0.162098669
71,ARN071_1V_7Hz_9.2.avi,1 V_7 Hz,1,7,2.42,6.97,0.48455804
71,ARN071_3V_7Hz_6.2.avi,3 V_7 Hz,3,7,1.42,0,-1
71,ARN071_3V_7Hz_7.2.avi,3 V_7 Hz,3,7,10.2,9.07,-0.058640374
71,ARN071_3V_15Hz_5.2.avi,3 V_15 Hz,3,15,2.49,2.38,-0.022587269
73,ARN073_0V_0Hz_8.2.avi,0 V_0 Hz,0,0,1.45,3.25,0.382978723
73,ARN073_0V_0Hz_9.2.avi,0 V_0 Hz,0,0,0.73,3.08,0.6167979
73,ARN073_0V_0Hz_10.2.avi,0 V_0 Hz,0,0,0.711,0.835,0.080206986
73,ARN073_1V_3Hz_20.2.avi,1 V_3 Hz,1,3,2.22,5.87,0.451174289
73,ARN073_1V_3Hz_21.2.avi,1 V_3 Hz,1,3,2.61,2.31,-0.06097561
73,ARN073_1V_7Hz_18.2.avi,1 V_7 Hz,1,7,3.73,13.79,0.574200913
73,ARN073_1V_7Hz_19.2.avi,1 V_7 Hz,1,7,2.8,7.7,0.466666667
73,ARN073_1V_15Hz_22.2.avi,1 V_15 Hz,1,15,1.56,17.05,0.8323482
73,ARN073_1V_15Hz_23.2.avi,1 V_15 Hz,1,15,0.47,1.83,0.591304348
73,ARN073_3V_3Hz_13.2.avi,3 V_3 Hz,3,3,3.02,3.38,0.05625
73,ARN073_3V_3Hz_14.2.avi,3 V_3 Hz,3,3,0.45,2.98,0.737609329
73,ARN073_3V_3Hz_15.2.avi,3 V_3 Hz,3,3,1.517,1.979,0.13215103
73,ARN073_3V_7Hz_16.2.avi,3 V_7 Hz,3,7,2.35,4.98,0.358799454
73,ARN073_3V_7Hz_17.2.avi,3 V_7 Hz,3,7,2.75,4.6,0.25170068
73,ARN073_3V_15Hz_11.2.avi,3 V_15 Hz,3,15,0.88,0.94,0.032967033
73,ARN073_3V_15Hz_12.2.avi,3 V_15 Hz,3,15,0.89,4.18,0.648915187